Name,Description,Latitude,Longitude,Auto_Opene,BldName,FID,Floor,description,name
(PAC) PERFORMING ARTS CENTER,name: kml_19<br>description: <br> Attributes<br>  FID  18 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (PAC) PERFORMING ARTS CENTER <br>FID: 18<br>Auto_Opene: 0<br>Floor: 02,30.286757,-97.730509,0,(PAC) PERFORMING ARTS CENTER,18,02,,kml_19
(PAC) PERFORMING ARTS CENTER,name: kml_20<br>description: Attributes<br> FID 19 <br> Auto_Opene 1 <br> Floor 02 <br> BldName (PAC) PERFORMING ARTS CENTER <br>FID: 19<br>Auto_Opene: 1<br>Floor: 02,30.285879,-97.731026,1,(PAC) PERFORMING ARTS CENTER,19,02,Attributes,kml_20
(PAC) PERFORMING ARTS CENTER,name: kml_21<br>description: <br> Attributes<br>  FID  20 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (PAC) PERFORMING ARTS CENTER <br>FID: 20<br>Auto_Opene: 1<br>Floor: 02,30.285781,-97.73128,1,(PAC) PERFORMING ARTS CENTER,20,02,,kml_21
(SAC) STUDENT ACTIVITY CENTER,name: kml_22<br>description: <br> Attributes<br>  FID  21 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (SAC) STUDENT ACTIVITY CENTER <br>FID: 21<br>Auto_Opene: 1<br>Floor: 01,30.285273,-97.736042,1,(SAC) STUDENT ACTIVITY CENTER,21,01,,kml_22
(WCH) WILL C. HOGG BLDG.,name: kml_23<br>description: <br> Attributes<br>  FID  22 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (WCH) WILL C. HOGG BLDG. <br>FID: 22<br>Auto_Opene: 1<br>Floor: 02,30.286105,-97.738629,1,(WCH) WILL C. HOGG BLDG.,22,02,,kml_23
(GEA) MARY E. GEARING HALL,name: kml_24<br>description: <br> Attributes<br>  FID  23 <br>  Auto_Opene  1 <br>  Floor  001 <br>  BldName  (GEA) MARY E. GEARING HALL <br>FID: 23<br>Auto_Opene: 1<br>Floor: 001,30.287777,-97.738915,1,(GEA) MARY E. GEARING HALL,23,001,,kml_24
(PAI) T.S. PAINTER HALL,name: kml_25<br>description: <br> Attributes<br>  FID  24 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (PAI) T.S. PAINTER HALL <br>FID: 24<br>Auto_Opene: 1<br>Floor: 01,30.286945,-97.738457,1,(PAI) T.S. PAINTER HALL,24,01,,kml_25
(FAC) PETER T. FLAWN ACADEMIC CENTER,name: kml_26<br>description: <br> Attributes<br>  FID  25 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (FAC) PETER T. FLAWN ACADEMIC CENTER <br>FID: 25<br>Auto_Opene: 0<br>Floor: 01,30.286516,-97.740034,0,(FAC) PETER T. FLAWN ACADEMIC CENTER,25,01,,kml_26
(FAC) PETER T. FLAWN ACADEMIC CENTER,name: kml_27<br>description: <br> Attributes<br>  FID  26 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (FAC) PETER T. FLAWN ACADEMIC CENTER <br>FID: 26<br>Auto_Opene: 1<br>Floor: 01,30.286119,-97.740063,1,(FAC) PETER T. FLAWN ACADEMIC CENTER,26,01,,kml_27
(FAC) PETER T. FLAWN ACADEMIC CENTER,name: kml_28<br>description: <br> Attributes<br>  FID  27 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (FAC) PETER T. FLAWN ACADEMIC CENTER <br>FID: 27<br>Auto_Opene: 0<br>Floor: 01,30.286066,-97.740425,0,(FAC) PETER T. FLAWN ACADEMIC CENTER,27,01,,kml_28
(FAC) PETER T. FLAWN ACADEMIC CENTER,name: kml_29<br>description: <br> Attributes<br>  FID  28 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (FAC) PETER T. FLAWN ACADEMIC CENTER <br>FID: 28<br>Auto_Opene: 0<br>Floor: 01,30.286052,-97.740242,0,(FAC) PETER T. FLAWN ACADEMIC CENTER,28,01,,kml_29
(BTL) BATTLE HALL,name: kml_30<br>description: <br> Attributes<br>  FID  29 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (BTL) BATTLE HALL <br>FID: 29<br>Auto_Opene: 1<br>Floor: 01,30.28558,-97.740249,1,(BTL) BATTLE HALL,29,01,,kml_30
(WMB) WEST MALL OFFICE BLDG.,name: kml_31<br>description: <br> Attributes<br>  FID  30 <br>  Auto_Opene  1 <br>  Floor  03 <br>  BldName  (WMB) WEST MALL OFFICE BLDG. <br>FID: 30<br>Auto_Opene: 1<br>Floor: 03,30.28561,-97.740609,1,(WMB) WEST MALL OFFICE BLDG.,30,03,,kml_31
(GOL) GOLDSMITH HALL,name: kml_32<br>description: <br> Attributes<br>  FID  31 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (GOL) GOLDSMITH HALL <br>FID: 31<br>Auto_Opene: 1<br>Floor: 02,30.285688,-97.741277,1,(GOL) GOLDSMITH HALL,31,02,,kml_32
(UNB) UNION BUILDING,name: kml_33<br>description: <br> Attributes<br>  FID  32 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (UNB) UNION BUILDING <br>FID: 32<br>Auto_Opene: 1<br>Floor: 02,30.28603,-97.740996,1,(UNB) UNION BUILDING,32,02,,kml_33
(WMB) WEST MALL OFFICE BLDG.,name: kml_34<br>description: <br> Attributes<br>  FID  33 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (WMB) WEST MALL OFFICE BLDG. <br>FID: 33<br>Auto_Opene: 1<br>Floor: 02,30.285541,-97.740689,1,(WMB) WEST MALL OFFICE BLDG.,33,02,,kml_34
(WMB) WEST MALL OFFICE BLDG.,name: kml_35<br>description: <br> Attributes<br>  FID  34 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (WMB) WEST MALL OFFICE BLDG. <br>FID: 34<br>Auto_Opene: 1<br>Floor: 02,30.285448,-97.740699,1,(WMB) WEST MALL OFFICE BLDG.,34,02,,kml_35
(SUT) SUTTON HALL,name: kml_36<br>description: <br> Attributes<br>  FID  35 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (SUT) SUTTON HALL <br>FID: 35<br>Auto_Opene: 0<br>Floor: 02,30.284946,-97.740507,0,(SUT) SUTTON HALL,35,02,,kml_36
(SUT) SUTTON HALL,name: kml_37<br>description: <br> Attributes<br>  FID  36 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (SUT) SUTTON HALL <br>FID: 36<br>Auto_Opene: 0<br>Floor: 02,30.285046,-97.740631,0,(SUT) SUTTON HALL,36,02,,kml_37
(WMB) WEST MALL OFFICE BLDG.,name: kml_38<br>description: <br> Attributes<br>  FID  37 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (WMB) WEST MALL OFFICE BLDG. <br>FID: 37<br>Auto_Opene: 1<br>Floor: 02,30.285354,-97.740708,1,(WMB) WEST MALL OFFICE BLDG.,37,02,,kml_38
(BWY) 2616 WICHITA,name: kml_39<br>description: <br> Attributes<br>  FID  38 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (BWY) 2616 WICHITA <br>FID: 38<br>Auto_Opene: 1<br>Floor: 01,30.29079,-97.738056,1,(BWY) 2616 WICHITA,38,01,,kml_39
(BIO) BIOLOGICAL LABORATORIES,name: kml_40<br>description: <br> Attributes<br>  FID  39 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (BIO) BIOLOGICAL LABORATORIES <br>FID: 39<br>Auto_Opene: 1<br>Floor: 01,30.287248,-97.740065,1,(BIO) BIOLOGICAL LABORATORIES,39,01,,kml_40
(GWB) GORDON-WHITE BUILDING,name: kml_41<br>description: <br> Attributes<br>  FID  40 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (GWB) GORDON-WHITE BUILDING <br>FID: 40<br>Auto_Opene: 1<br>Floor: 01,30.287667,-97.739861,1,(GWB) GORDON-WHITE BUILDING,40,01,,kml_41
(GWB) GORDON-WHITE BUILDING,name: kml_42<br>description: <br> Attributes<br>  FID  41 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (GWB) GORDON-WHITE BUILDING <br>FID: 41<br>Auto_Opene: 1<br>Floor: 01,30.287814,-97.7398,1,(GWB) GORDON-WHITE BUILDING,41,01,,kml_42
(BME) BIOMEDICAL ENGINEERING BUILDING,name: kml_43<br>description: <br> Attributes<br>  FID  42 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (BME) BIOMEDICAL ENGINEERING BUILDING <br>FID: 42<br>Auto_Opene: 1<br>Floor: 02,30.289083,-97.738869,1,(BME) BIOMEDICAL ENGINEERING BUILDING,42,02,,kml_43
(BME) BIOMEDICAL ENGINEERING BUILDING,name: kml_44<br>description: <br> Attributes<br>  FID  43 <br>  Auto_Opene  1 <br>  Floor  03 <br>  BldName  (BME) BIOMEDICAL ENGINEERING BUILDING <br>FID: 43<br>Auto_Opene: 1<br>Floor: 03,30.289402,-97.738721,1,(BME) BIOMEDICAL ENGINEERING BUILDING,43,03,,kml_44
(BME) BIOMEDICAL ENGINEERING BUILDING,name: kml_45<br>description: <br> Attributes<br>  FID  44 <br>  Auto_Opene  1 <br>  Floor  03 <br>  BldName  (BME) BIOMEDICAL ENGINEERING BUILDING <br>FID: 44<br>Auto_Opene: 1<br>Floor: 03,30.289404,-97.738749,1,(BME) BIOMEDICAL ENGINEERING BUILDING,44,03,,kml_45
(BME) BIOMEDICAL ENGINEERING BUILDING,name: kml_46<br>description: <br> Attributes<br>  FID  45 <br>  Auto_Opene  0 <br>  Floor  03 <br>  BldName  (BME) BIOMEDICAL ENGINEERING BUILDING <br>FID: 45<br>Auto_Opene: 0<br>Floor: 03,30.289353,-97.738845,0,(BME) BIOMEDICAL ENGINEERING BUILDING,45,03,,kml_46
